Date,Clicks,Impressions,CTR,Position
2026-01-29,0,3,0%,4
2026-01-30,0,3,0%,75.7
2026-01-31,0,13,0%,22.9
2026-02-01,1,10,10%,10.5
2026-02-02,0,5,0%,22.6
2026-02-03,0,6,0%,16.2
2026-02-04,0,9,0%,12.9
2026-02-05,0,6,0%,6.5
2026-02-06,0,1,0%,2
2026-02-07,0,5,0%,1.8
2026-02-08,0,5,0%,7.8
2026-02-09,0,5,0%,45
2026-02-10,3,13,23.08%,3.1
2026-02-11,0,4,0%,8.8
2026-02-12,2,12,16.67%,9.8
2026-02-13,15,67,22.39%,13.3
2026-02-14,55,162,33.95%,10.6
2026-02-15,115,208,55.29%,6.6
2026-02-16,79,130,60.77%,6.9
2026-02-17,60,126,47.62%,5.8
2026-02-18,100,175,57.14%,4.3
2026-02-19,62,118,52.54%,7.1
2026-02-20,73,130,56.15%,7.1
2026-02-21,78,142,54.93%,4.7
2026-02-22,53,116,45.69%,9.1
2026-02-23,57,125,45.6%,10.5
2026-02-24,87,152,57.24%,5
2026-02-25,86,152,56.58%,9.2