Top pages,Clicks,Impressions,CTR,Position
https://egreet.in/,672,1476,45.53%,3.57
https://egreet.in/bouquet/create,195,476,40.97%,5.5
https://egreet.in/cards,45,519,8.67%,9.37
https://egreet.in/about,26,773,3.36%,4.7
https://egreet.in/contact,17,513,3.31%,6.68
http://egreet.in/,7,17,41.18%,16.29
https://egreet.in/cards/get-well,5,183,2.73%,8.31
https://egreet.in/cards/valentine,3,47,6.38%,8.53
https://egreet.in/blog/post/creative-wish-jar-card-ideas.html,3,45,6.67%,9.89
https://egreet.in/cards/birthday,2,102,1.96%,19.9
https://egreet.in/cards/anniversary,2,82,2.44%,7.18
https://egreet.in/cards/crush,1,70,1.43%,6.54
https://egreet.in/blog/post/creative-valentine-card-ideas.html,1,43,2.33%,8.7
https://egreet.in/blog/post/creative-birthday-card-ideas.html,1,34,2.94%,11.21
https://egreet.in/cards/wedding,1,14,7.14%,15.14
https://egreet.in/cards/thank-you,0,139,0%,23.05
https://egreet.in/blog/,0,36,0%,5.5